05978	奸	CJK UNIFIED IDEOGRAPH-5978
07334	猴	CJK UNIFIED IDEOGRAPH-7334
06994	榔	CJK UNIFIED IDEOGRAPH-6994
073ee	珮	CJK UNIFIED IDEOGRAPH-73EE
0677f	板	CJK UNIFIED IDEOGRAPH-677F
04f91	侑	CJK UNIFIED IDEOGRAPH-4F91
07c98	粘	CJK UNIFIED IDEOGRAPH-7C98
0945a	鑚	CJK UNIFIED IDEOGRAPH-945A
06016	怖	CJK UNIFIED IDEOGRAPH-6016
0552e	售	CJK UNIFIED IDEOGRAPH-552E
0524c	剌	CJK UNIFIED IDEOGRAPH-524C
055d4	嗔	CJK UNIFIED IDEOGRAPH-55D4
0699b	榛	CJK UNIFIED IDEOGRAPH-699B
093dd	鏝	CJK UNIFIED IDEOGRAPH-93DD
06770	杰	CJK UNIFIED IDEOGRAPH-6770
08749	蝉	CJK UNIFIED IDEOGRAPH-8749
06764	杤	CJK UNIFIED IDEOGRAPH-6764
087a2	螢	CJK UNIFIED IDEOGRAPH-87A2
0732f	猯	CJK UNIFIED IDEOGRAPH-732F
05d1f	崟	CJK UNIFIED IDEOGRAPH-5D1F
05ca1	岡	CJK UNIFIED IDEOGRAPH-5CA1
08a08	計	CJK UNIFIED IDEOGRAPH-8A08
08a3b	註	CJK UNIFIED IDEOGRAPH-8A3B
07b0a	笊	CJK UNIFIED IDEOGRAPH-7B0A
08fc5	迅	CJK UNIFIED IDEOGRAPH-8FC5
09eaa	麪	CJK UNIFIED IDEOGRAPH-9EAA
07b1e	笞	CJK UNIFIED IDEOGRAPH-7B1E
08fb1	辱	CJK UNIFIED IDEOGRAPH-8FB1
05d0b	崋	CJK UNIFIED IDEOGRAPH-5D0B
05480	咀	CJK UNIFIED IDEOGRAPH-5480
05df3	巳	CJK UNIFIED IDEOGRAPH-5DF3
068ef	棯	CJK UNIFIED IDEOGRAPH-68EF
07e7c	繼	CJK UNIFIED IDEOGRAPH-7E7C
05c76	屶	CJK UNIFIED IDEOGRAPH-5C76
09e7f	鹿	CJK UNIFIED IDEOGRAPH-9E7F
088f9	裹	CJK UNIFIED IDEOGRAPH-88F9
08aee	諮	CJK UNIFIED IDEOGRAPH-8AEE
068d4	棔	CJK UNIFIED IDEOGRAPH-68D4
08a34	訴	CJK UNIFIED IDEOGRAPH-8A34
06a19	標	CJK UNIFIED IDEOGRAPH-6A19
06fc0	激	CJK UNIFIED IDEOGRAPH-6FC0
09bf5	鯵	CJK UNIFIED IDEOGRAPH-9BF5
068e0	棠	CJK UNIFIED IDEOGRAPH-68E0
08ada	諚	CJK UNIFIED IDEOGRAPH-8ADA
08f46	轆	CJK UNIFIED IDEOGRAPH-8F46
0548f	咏	CJK UNIFIED IDEOGRAPH-548F
07240	牀	CJK UNIFIED IDEOGRAPH-7240
066f3	曳	CJK UNIFIED IDEOGRAPH-66F3
06f80	澀	CJK UNIFIED IDEOGRAPH-6F80
081b8	膸	CJK UNIFIED IDEOGRAPH-81B8
07526	甦	CJK UNIFIED IDEOGRAPH-7526
05331	匱	CJK UNIFIED IDEOGRAPH-5331
054a8	咨	CJK UNIFIED IDEOGRAPH-54A8
0661f	星	CJK UNIFIED IDEOGRAPH-661F
072ce	狎	CJK UNIFIED IDEOGRAPH-72CE
07532	甲	CJK UNIFIED IDEOGRAPH-7532
095d4	闔	CJK UNIFIED IDEOGRAPH-95D4
066fe	曾	CJK UNIFIED IDEOGRAPH-66FE
06162	慢	CJK UNIFIED IDEOGRAPH-6162
054c0	哀	CJK UNIFIED IDEOGRAPH-54C0
061c9	應	CJK UNIFIED IDEOGRAPH-61C9
081a4	膤	CJK UNIFIED IDEOGRAPH-81A4
072c3	狃	CJK UNIFIED IDEOGRAPH-72C3
05319	匙	CJK UNIFIED IDEOGRAPH-5319
0544e	呎	CJK UNIFIED IDEOGRAPH-544E
09245	鉅	CJK UNIFIED IDEOGRAPH-9245
06176	慶	CJK UNIFIED IDEOGRAPH-6176
0790e	礎	CJK UNIFIED IDEOGRAPH-790E
09912	餒	CJK UNIFIED IDEOGRAPH-9912
06d41	流	CJK UNIFIED IDEOGRAPH-6D41
05ff1	忱	CJK UNIFIED IDEOGRAPH-5FF1
04ede	仞	CJK UNIFIED IDEOGRAPH-4EDE
08db3	足	CJK UNIFIED IDEOGRAPH-8DB3
058b9	墹	CJK UNIFIED IDEOGRAPH-58B9
0991d	餝	CJK UNIFIED IDEOGRAPH-991D
079fb	移	CJK UNIFIED IDEOGRAPH-79FB
05fd9	忙	CJK UNIFIED IDEOGRAPH-5FD9
05872	塲	CJK UNIFIED IDEOGRAPH-5872
099f1	駱	CJK UNIFIED IDEOGRAPH-99F1
08cdc	賜	CJK UNIFIED IDEOGRAPH-8CDC
09084	還	CJK UNIFIED IDEOGRAPH-9084
06d69	浩	CJK UNIFIED IDEOGRAPH-6D69
06d5c	浜	CJK UNIFIED IDEOGRAPH-6D5C
06c3e	氾	CJK UNIFIED IDEOGRAPH-6C3E
08dbe	趾	CJK UNIFIED IDEOGRAPH-8DBE
04e18	丘	CJK UNIFIED IDEOGRAPH-4E18
07724	眤	CJK UNIFIED IDEOGRAPH-7724
0905e	遞	CJK UNIFIED IDEOGRAPH-905E
064f1	擱	CJK UNIFIED IDEOGRAPH-64F1
051f8	凸	CJK UNIFIED IDEOGRAPH-51F8
0904a	遊	CJK UNIFIED IDEOGRAPH-904A
0637b	捻	CJK UNIFIED IDEOGRAPH-637B
08d8a	越	CJK UNIFIED IDEOGRAPH-8D8A
08403	萃	CJK UNIFIED IDEOGRAPH-8403
063a3	掣	CJK UNIFIED IDEOGRAPH-63A3
06406	搆	CJK UNIFIED IDEOGRAPH-6406
056c2	囂	CJK UNIFIED IDEOGRAPH-56C2
09053	道	CJK UNIFIED IDEOGRAPH-9053
097ed	韭	CJK UNIFIED IDEOGRAPH-97ED
09047	遇	CJK UNIFIED IDEOGRAPH-9047
084f4	蓴	CJK UNIFIED IDEOGRAPH-84F4
077e7	矧	CJK UNIFIED IDEOGRAPH-77E7
0512a	優	CJK UNIFIED IDEOGRAPH-512A
056b6	嚶	CJK UNIFIED IDEOGRAPH-56B6
0840e	萎	CJK UNIFIED IDEOGRAPH-840E
08358	荘	CJK UNIFIED IDEOGRAPH-8358
064d8	擘	CJK UNIFIED IDEOGRAPH-64D8
06413	搓	CJK UNIFIED IDEOGRAPH-6413
0840d	萍	CJK UNIFIED IDEOGRAPH-840D
056c3	囃	CJK UNIFIED IDEOGRAPH-56C3
06d8e	涎	CJK UNIFIED IDEOGRAPH-6D8E
097ee	韮	CJK UNIFIED IDEOGRAPH-97EE
09052	遒	CJK UNIFIED IDEOGRAPH-9052
0565b	噛	CJK UNIFIED IDEOGRAPH-565B
05668	器	CJK UNIFIED IDEOGRAPH-5668
084fc	蓼	CJK UNIFIED IDEOGRAPH-84FC
06349	捉	CJK UNIFIED IDEOGRAPH-6349
090b1	邱	CJK UNIFIED IDEOGRAPH-90B1
063a2	探	CJK UNIFIED IDEOGRAPH-63A2
070cf	烏	CJK UNIFIED IDEOGRAPH-70CF
09708	霈	CJK UNIFIED IDEOGRAPH-9708
083aa	莪	CJK UNIFIED IDEOGRAPH-83AA
07725	眥	CJK UNIFIED IDEOGRAPH-7725
056ce	囎	CJK UNIFIED IDEOGRAPH-56CE
05132	儲	CJK UNIFIED IDEOGRAPH-5132
051f9	凹	CJK UNIFIED IDEOGRAPH-51F9
06ce5	泥	CJK UNIFIED IDEOGRAPH-6CE5
08cdb	賛	CJK UNIFIED IDEOGRAPH-8CDB
05fff	忿	CJK UNIFIED IDEOGRAPH-5FFF
04e19	丙	CJK UNIFIED IDEOGRAPH-4E19
0990a	養	CJK UNIFIED IDEOGRAPH-990A
0991e	餞	CJK UNIFIED IDEOGRAPH-991E
08c37	谷	CJK UNIFIED IDEOGRAPH-8C37
058ab	墫	CJK UNIFIED IDEOGRAPH-58AB
058b8	墸	CJK UNIFIED IDEOGRAPH-58B8
05fd8	忘	CJK UNIFIED IDEOGRAPH-5FD8
09091	邑	CJK UNIFIED IDEOGRAPH-9091
079e9	秩	CJK UNIFIED IDEOGRAPH-79E9
05ff0	忰	CJK UNIFIED IDEOGRAPH-5FF0
099ff	駿	CJK UNIFIED IDEOGRAPH-99FF
05f0a	弊	CJK UNIFIED IDEOGRAPH-5F0A
04e31	丱	CJK UNIFIED IDEOGRAPH-4E31
08c3a	谺	CJK UNIFIED IDEOGRAPH-8C3A
09913	餓	CJK UNIFIED IDEOGRAPH-9913
099d8	駘	CJK UNIFIED IDEOGRAPH-99D8
08ce0	賠	CJK UNIFIED IDEOGRAPH-8CE0
0587e	塾	CJK UNIFIED IDEOGRAPH-587E
05a49	婉	CJK UNIFIED IDEOGRAPH-5A49
072c2	狂	CJK UNIFIED IDEOGRAPH-72C2
06177	慷	CJK UNIFIED IDEOGRAPH-6177
09244	鉄	CJK UNIFIED IDEOGRAPH-9244
095dc	關	CJK UNIFIED IDEOGRAPH-95DC
07269	物	CJK UNIFIED IDEOGRAPH-7269
06163	慣	CJK UNIFIED IDEOGRAPH-6163
09250	鉐	CJK UNIFIED IDEOGRAPH-9250
066fd	曽	CJK UNIFIED IDEOGRAPH-66FD
072b6	状	CJK UNIFIED IDEOGRAPH-72B6
061c8	懈	CJK UNIFIED IDEOGRAPH-61C8
0533f	匿	CJK UNIFIED IDEOGRAPH-533F
054c1	品	CJK UNIFIED IDEOGRAPH-54C1
07533	申	CJK UNIFIED IDEOGRAPH-7533
054bc	咼	CJK UNIFIED IDEOGRAPH-54BC
05442	呂	CJK UNIFIED IDEOGRAPH-5442
0924b	鉋	CJK UNIFIED IDEOGRAPH-924B
095d5	闕	CJK UNIFIED IDEOGRAPH-95D5
08166	腦	CJK UNIFIED IDEOGRAPH-8166
0616e	慮	CJK UNIFIED IDEOGRAPH-616E
066f2	曲	CJK UNIFIED IDEOGRAPH-66F2
06f81	澁	CJK UNIFIED IDEOGRAPH-6F81
095e1	闡	CJK UNIFIED IDEOGRAPH-95E1
08f9f	辟	CJK UNIFIED IDEOGRAPH-8F9F
053ea	只	CJK UNIFIED IDEOGRAPH-53EA
0660c	昌	CJK UNIFIED IDEOGRAPH-660C
08827	蠧	CJK UNIFIED IDEOGRAPH-8827
06fc1	濁	CJK UNIFIED IDEOGRAPH-6FC1
08fbf	辿	CJK UNIFIED IDEOGRAPH-8FBF
05dfd	巽	CJK UNIFIED IDEOGRAPH-5DFD
068e1	棡	CJK UNIFIED IDEOGRAPH-68E1
088df	裟	CJK UNIFIED IDEOGRAPH-88DF
068d5	棕	CJK UNIFIED IDEOGRAPH-68D5
08aed	諭	CJK UNIFIED IDEOGRAPH-8AED
088f8	裸	CJK UNIFIED IDEOGRAPH-88F8
06ad3	櫓	CJK UNIFIED IDEOGRAPH-6AD3
09293	銓	CJK UNIFIED IDEOGRAPH-9293
05d11	崑	CJK UNIFIED IDEOGRAPH-5D11
09b1a	鬚	CJK UNIFIED IDEOGRAPH-9B1A
06a2b	樫	CJK UNIFIED IDEOGRAPH-6A2B
09ea6	麦	CJK UNIFIED IDEOGRAPH-9EA6
07b06	笆	CJK UNIFIED IDEOGRAPH-7B06
08fb0	辰	CJK UNIFIED IDEOGRAPH-8FB0
07e7b	繻	CJK UNIFIED IDEOGRAPH-7E7B
08ad6	論	CJK UNIFIED IDEOGRAPH-8AD6
07296	犖	CJK UNIFIED IDEOGRAPH-7296
09be8	鯨	CJK UNIFIED IDEOGRAPH-9BE8
06aea	櫪	CJK UNIFIED IDEOGRAPH-6AEA
05c6e	屮	CJK UNIFIED IDEOGRAPH-5C6E
05df2	已	CJK UNIFIED IDEOGRAPH-5DF2
08ae2	諢	CJK UNIFIED IDEOGRAPH-8AE2
07282	犂	CJK UNIFIED IDEOGRAPH-7282
06ade	櫞	CJK UNIFIED IDEOGRAPH-6ADE
08fc4	迄	CJK UNIFIED IDEOGRAPH-8FC4
08a3c	証	CJK UNIFIED IDEOGRAPH-8A3C
06822	栢	CJK UNIFIED IDEOGRAPH-6822
06765	来	CJK UNIFIED IDEOGRAPH-6765
060e8	惨	CJK UNIFIED IDEOGRAPH-60E8
060fb	惻	CJK UNIFIED IDEOGRAPH-60FB
074b0	環	CJK UNIFIED IDEOGRAPH-74B0
052c7	勇	CJK UNIFIED IDEOGRAPH-52C7
06771	東	CJK UNIFIED IDEOGRAPH-6771
0699c	榜	CJK UNIFIED IDEOGRAPH-699C
080f1	胱	CJK UNIFIED IDEOGRAPH-80F1
0745e	瑞	CJK UNIFIED IDEOGRAPH-745E
04f8b	例	CJK UNIFIED IDEOGRAPH-4F8B
0524b	剋	CJK UNIFIED IDEOGRAPH-524B
06759	杙	CJK UNIFIED IDEOGRAPH-6759
060f4	惴	CJK UNIFIED IDEOGRAPH-60F4
080d9	胙	CJK UNIFIED IDEOGRAPH-80D9
06981	榁	CJK UNIFIED IDEOGRAPH-6981
08774	蝴	CJK UNIFIED IDEOGRAPH-8774
08012	耒	CJK UNIFIED IDEOGRAPH-8012
0600e	怎	CJK UNIFIED IDEOGRAPH-600E
08006	耆	CJK UNIFIED IDEOGRAPH-8006
067a6	枦	CJK UNIFIED IDEOGRAPH-67A6
09318	錘	CJK UNIFIED IDEOGRAPH-9318
0932b	錫	CJK UNIFIED IDEOGRAPH-932B
052be	劾	CJK UNIFIED IDEOGRAPH-52BE
055dc	嗜	CJK UNIFIED IDEOGRAPH-55DC
05244	剄	CJK UNIFIED IDEOGRAPH-5244
0898b	見	CJK UNIFIED IDEOGRAPH-898B
073ed	班	CJK UNIFIED IDEOGRAPH-73ED
06995	榕	CJK UNIFIED IDEOGRAPH-6995
08760	蝠	CJK UNIFIED IDEOGRAPH-8760
0748b	璋	CJK UNIFIED IDEOGRAPH-748B
04f5e	佞	CJK UNIFIED IDEOGRAPH-4F5E
04fc4	俄	CJK UNIFIED IDEOGRAPH-4FC4
07d00	紀	CJK UNIFIED IDEOGRAPH-7D00
089bf	覿	CJK UNIFIED IDEOGRAPH-89BF
07cb9	粹	CJK UNIFIED IDEOGRAPH-7CB9
069c1	槁	CJK UNIFIED IDEOGRAPH-69C1
07d14	純	CJK UNIFIED IDEOGRAPH-7D14
05be8	寨	CJK UNIFIED IDEOGRAPH-5BE8
09481	钁	CJK UNIFIED IDEOGRAPH-9481
09df2	鷲	CJK UNIFIED IDEOGRAPH-9DF2
04f53	体	CJK UNIFIED IDEOGRAPH-4F53
0895e	襞	CJK UNIFIED IDEOGRAPH-895E
05ea6	度	CJK UNIFIED IDEOGRAPH-5EA6
04fbf	便	CJK UNIFIED IDEOGRAPH-4FBF
07ca5	粥	CJK UNIFIED IDEOGRAPH-7CA5
07d1b	紛	CJK UNIFIED IDEOGRAPH-7D1B
09dfd	鷽	CJK UNIFIED IDEOGRAPH-9DFD
05287	劇	CJK UNIFIED IDEOGRAPH-5287
04f47	佇	CJK UNIFIED IDEOGRAPH-4F47
050c5	僅	CJK UNIFIED IDEOGRAPH-50C5
0573b	圻	CJK UNIFIED IDEOGRAPH-573B
05708	圈	CJK UNIFIED IDEOGRAPH-5708
09132	鄲	CJK UNIFIED IDEOGRAPH-9132
096ce	雎	CJK UNIFIED IDEOGRAPH-96CE
0764c	癌	CJK UNIFIED IDEOGRAPH-764C
071d4	燔	CJK UNIFIED IDEOGRAPH-71D4
057e3	埣	CJK UNIFIED IDEOGRAPH-57E3
0856d	蕭	CJK UNIFIED IDEOGRAPH-856D
071e0	燠	CJK UNIFIED IDEOGRAPH-71E0
082f3	苳	CJK UNIFIED IDEOGRAPH-82F3
08b80	讀	CJK UNIFIED IDEOGRAPH-8B80
09640	陀	CJK UNIFIED IDEOGRAPH-9640
065ab	斫	CJK UNIFIED IDEOGRAPH-65AB
076c6	盆	CJK UNIFIED IDEOGRAPH-76C6
08238	舸	CJK UNIFIED IDEOGRAPH-8238
08210	舐	CJK UNIFIED IDEOGRAPH-8210
062f6	拶	CJK UNIFIED IDEOGRAPH-62F6
0965b	陛	CJK UNIFIED IDEOGRAPH-965B
0964f	陏	CJK UNIFIED IDEOGRAPH-964F
096b7	隷	CJK UNIFIED IDEOGRAPH-96B7
085c9	藉	CJK UNIFIED IDEOGRAPH-85C9
06bb1	殱	CJK UNIFIED IDEOGRAPH-6BB1
06e2f	港	CJK UNIFIED IDEOGRAPH-6E2F
09697	隗	CJK UNIFIED IDEOGRAPH-9697
07fe9	翩	CJK UNIFIED IDEOGRAPH-7FE9
07ffc	翼	CJK UNIFIED IDEOGRAPH-7FFC
07a70	穰	CJK UNIFIED IDEOGRAPH-7A70
059ff	姿	CJK UNIFIED IDEOGRAPH-59FF
0f9b2	零	CJK UNIFIED IDEOGRAPH-96F6
07aaa	窪	CJK UNIFIED IDEOGRAPH-7AAA
06bc5	毅	CJK UNIFIED IDEOGRAPH-6BC5
06e08	済	CJK UNIFIED IDEOGRAPH-6E08
09aad	骭	CJK UNIFIED IDEOGRAPH-9AAD
09f13	鼓	CJK UNIFIED IDEOGRAPH-9F13
06e20	渠	CJK UNIFIED IDEOGRAPH-6E20
07686	皆	CJK UNIFIED IDEOGRAPH-7686
08b5a	譚	CJK UNIFIED IDEOGRAPH-8B5A
09873	顳	CJK UNIFIED IDEOGRAPH-9873
07a6b	穫	CJK UNIFIED IDEOGRAPH-7A6B
05091	傑	CJK UNIFIED IDEOGRAPH-5091
05085	傅	CJK UNIFIED IDEOGRAPH-5085
0968e	階	CJK UNIFIED IDEOGRAPH-968E
08ed2	軒	CJK UNIFIED IDEOGRAPH-8ED2
08b4e	譎	CJK UNIFIED IDEOGRAPH-8B4E
07a7f	穿	CJK UNIFIED IDEOGRAPH-7A7F
09867	顧	CJK UNIFIED IDEOGRAPH-9867
09f07	鼇	CJK UNIFIED IDEOGRAPH-9F07
0590a	夊	CJK UNIFIED IDEOGRAPH-590A
08b5c	譜	CJK UNIFIED IDEOGRAPH-8B5C
09871	顱	CJK UNIFIED IDEOGRAPH-9871
07684	的	CJK UNIFIED IDEOGRAPH-7684
0969c	障	CJK UNIFIED IDEOGRAPH-969C
0786f	硯	CJK UNIFIED IDEOGRAPH-786F
078a3	碣	CJK UNIFIED IDEOGRAPH-78A3
08e2a	踪	CJK UNIFIED IDEOGRAPH-8E2A
07a7d	穽	CJK UNIFIED IDEOGRAPH-7A7D
07690	皐	CJK UNIFIED IDEOGRAPH-7690
06b50	歐	CJK UNIFIED IDEOGRAPH-6B50
08eeb	軫	CJK UNIFIED IDEOGRAPH-8EEB
08ef8	軸	CJK UNIFIED IDEOGRAPH-8EF8
0768b	皋	CJK UNIFIED IDEOGRAPH-768B
09695	隕	CJK UNIFIED IDEOGRAPH-9695
06ed5	滕	CJK UNIFIED IDEOGRAPH-6ED5
06b78	歸	CJK UNIFIED IDEOGRAPH-6B78
06e2d	渭	CJK UNIFIED IDEOGRAPH-6E2D
06bb3	殳	CJK UNIFIED IDEOGRAPH-6BB3
0f9b0	聆	CJK UNIFIED IDEOGRAPH-8046
08b41	譁	CJK UNIFIED IDEOGRAPH-8B41
08edf	軟	CJK UNIFIED IDEOGRAPH-8EDF
06b5f	歟	CJK UNIFIED IDEOGRAPH-6B5F
07874	硴	CJK UNIFIED IDEOGRAPH-7874
06559	教	CJK UNIFIED IDEOGRAPH-6559
0656c	敬	CJK UNIFIED IDEOGRAPH-656C
091e7	釧	CJK UNIFIED IDEOGRAPH-91E7
082d9	苙	CJK UNIFIED IDEOGRAPH-82D9
07647	癇	CJK UNIFIED IDEOGRAPH-7647
05050	偐	CJK UNIFIED IDEOGRAPH-5050
050ca	僊	CJK UNIFIED IDEOGRAPH-50CA
07121	無	CJK UNIFIED IDEOGRAPH-7121
08212	舒	CJK UNIFIED IDEOGRAPH-8212
085ae	薮	CJK UNIFIED IDEOGRAPH-85AE
096c1	雁	CJK UNIFIED IDEOGRAPH-96C1
0620e	戎	CJK UNIFIED IDEOGRAPH-620E
0621a	戚	CJK UNIFIED IDEOGRAPH-621A
050be	傾	CJK UNIFIED IDEOGRAPH-50BE
057dc	埜	CJK UNIFIED IDEOGRAPH-57DC
0964d	降	CJK UNIFIED IDEOGRAPH-964D
071ed	燭	CJK UNIFIED IDEOGRAPH-71ED
06b8a	殊	CJK UNIFIED IDEOGRAPH-6B8A
08b96	讖	CJK UNIFIED IDEOGRAPH-8B96
08548	蕈	CJK UNIFIED IDEOGRAPH-8548
076b0	皰	CJK UNIFIED IDEOGRAPH-76B0
09130	鄰	CJK UNIFIED IDEOGRAPH-9130
0572d	圭	CJK UNIFIED IDEOGRAPH-572D
050b3	傳	CJK UNIFIED IDEOGRAPH-50B3
0713c	焼	CJK UNIFIED IDEOGRAPH-713C
07109	焉	CJK UNIFIED IDEOGRAPH-7109
096bc	隼	CJK UNIFIED IDEOGRAPH-96BC
09642	陂	CJK UNIFIED IDEOGRAPH-9642
06b9e	殞	CJK UNIFIED IDEOGRAPH-6B9E
082f1	英	CJK UNIFIED IDEOGRAPH-82F1
05078	偸	CJK UNIFIED IDEOGRAPH-5078
07d0d	納	CJK UNIFIED IDEOGRAPH-7D0D
07c58	籘	CJK UNIFIED IDEOGRAPH-7C58
04f51	佑	CJK UNIFIED IDEOGRAPH-4F51
05291	劑	CJK UNIFIED IDEOGRAPH-5291
05e7e	幾	CJK UNIFIED IDEOGRAPH-5E7E
05bf6	寶	CJK UNIFIED IDEOGRAPH-5BF6
0894c	襌	CJK UNIFIED IDEOGRAPH-894C
06954	楔	CJK UNIFIED IDEOGRAPH-6954
069ce	槎	CJK UNIFIED IDEOGRAPH-69CE
07ca7	粧	CJK UNIFIED IDEOGRAPH-7CA7
089b2	覲	CJK UNIFIED IDEOGRAPH-89B2
09d07	鴇	CJK UNIFIED IDEOGRAPH-9D07
07d02	紂	CJK UNIFIED IDEOGRAPH-7D02
05eab	庫	CJK UNIFIED IDEOGRAPH-5EAB
05eb8	庸	CJK UNIFIED IDEOGRAPH-5EB8
05e73	平	CJK UNIFIED IDEOGRAPH-5E73
07de9	緩	CJK UNIFIED IDEOGRAPH-7DE9
07c64	籤	CJK UNIFIED IDEOGRAPH-7C64
069c3	槃	CJK UNIFIED IDEOGRAPH-69C3
089bd	覽	CJK UNIFIED IDEOGRAPH-89BD
074bd	璽	CJK UNIFIED IDEOGRAPH-74BD
08010	耐	CJK UNIFIED IDEOGRAPH-8010
08776	蝶	CJK UNIFIED IDEOGRAPH-8776
060f6	惶	CJK UNIFIED IDEOGRAPH-60F6
093e5	鏥	CJK UNIFIED IDEOGRAPH-93E5
0945b	鑛	CJK UNIFIED IDEOGRAPH-945B
0676a	杪	CJK UNIFIED IDEOGRAPH-676A
093d1	鏑	CJK UNIFIED IDEOGRAPH-93D1
0677e	松	CJK UNIFIED IDEOGRAPH-677E
055da	嗚	CJK UNIFIED IDEOGRAPH-55DA
04f86	來	CJK UNIFIED IDEOGRAPH-4F86
0601c	怜	CJK UNIFIED IDEOGRAPH-601C
06029	怩	CJK UNIFIED IDEOGRAPH-6029
08004	耄	CJK UNIFIED IDEOGRAPH-8004
07337	猷	CJK UNIFIED IDEOGRAPH-7337
052c5	勅	CJK UNIFIED IDEOGRAPH-52C5
09332	録	CJK UNIFIED IDEOGRAPH-9332
0732e	献	CJK UNIFIED IDEOGRAPH-732E
0698e	榎	CJK UNIFIED IDEOGRAPH-698E
0525d	剝	CJK UNIFIED IDEOGRAPH-525D
055e3	嗣	CJK UNIFIED IDEOGRAPH-55E3
04f9d	依	CJK UNIFIED IDEOGRAPH-4F9D
073e0	珠	CJK UNIFIED IDEOGRAPH-73E0
08986	覆	CJK UNIFIED IDEOGRAPH-8986
06773	杳	CJK UNIFIED IDEOGRAPH-6773
06015	怕	CJK UNIFIED IDEOGRAPH-6015
09326	錦	CJK UNIFIED IDEOGRAPH-9326
067b8	枸	CJK UNIFIED IDEOGRAPH-67B8
0800b	耋	CJK UNIFIED IDEOGRAPH-800B
052b1	励	CJK UNIFIED IDEOGRAPH-52B1
0552f	唯	CJK UNIFIED IDEOGRAPH-552F
06f54	潔	CJK UNIFIED IDEOGRAPH-6F54
068ee	森	CJK UNIFIED IDEOGRAPH-68EE
08f4c	轌	CJK UNIFIED IDEOGRAPH-8F4C
06834	栴	CJK UNIFIED IDEOGRAPH-6834
08fb2	農	CJK UNIFIED IDEOGRAPH-8FB2
07b0b	笋	CJK UNIFIED IDEOGRAPH-7B0B
08a3a	診	CJK UNIFIED IDEOGRAPH-8A3A
09eb8	麸	CJK UNIFIED IDEOGRAPH-9EB8
068da	棚	CJK UNIFIED IDEOGRAPH-68DA
08ae0	諠	CJK UNIFIED IDEOGRAPH-8AE0
07280	犀	CJK UNIFIED IDEOGRAPH-7280
07bf3	篳	CJK UNIFIED IDEOGRAPH-7BF3
07e6d	繭	CJK UNIFIED IDEOGRAPH-7E6D
06f5b	潛	CJK UNIFIED IDEOGRAPH-6F5B
088dd	裝	CJK UNIFIED IDEOGRAPH-88DD
09285	銅	CJK UNIFIED IDEOGRAPH-9285
068e3	棣	CJK UNIFIED IDEOGRAPH-68E3
08adb	諛	CJK UNIFIED IDEOGRAPH-8ADB
08f45	轅	CJK UNIFIED IDEOGRAPH-8F45
0548e	咎	CJK UNIFIED IDEOGRAPH-548E
05c61	屡	CJK UNIFIED IDEOGRAPH-5C61
05d07	崇	CJK UNIFIED IDEOGRAPH-5D07
08a23	訣	CJK UNIFIED IDEOGRAPH-8A23
06fc3	濃	CJK UNIFIED IDEOGRAPH-6FC3
06a3d	樽	CJK UNIFIED IDEOGRAPH-6A3D
07b04	笄	CJK UNIFIED IDEOGRAPH-7B04
09b29	鬩	CJK UNIFIED IDEOGRAPH-9B29
08831	蠱	CJK UNIFIED IDEOGRAPH-8831
06ad1	櫑	CJK UNIFIED IDEOGRAPH-6AD1
09291	銑	CJK UNIFIED IDEOGRAPH-9291
068d7	棗	CJK UNIFIED IDEOGRAPH-68D7
07e89	纉	CJK UNIFIED IDEOGRAPH-7E89
086e9	蛩	CJK UNIFIED IDEOGRAPH-86E9
06f97	澗	CJK UNIFIED IDEOGRAPH-6F97
05440	呀	CJK UNIFIED IDEOGRAPH-5440
08602	蘂	CJK UNIFIED IDEOGRAPH-8602
07531	由	CJK UNIFIED IDEOGRAPH-7531
0660a	昊	CJK UNIFIED IDEOGRAPH-660A
08616	蘖	CJK UNIFIED IDEOGRAPH-8616
07525	甥	CJK UNIFIED IDEOGRAPH-7525
053ec	召	CJK UNIFIED IDEOGRAPH-53EC
08170	腰	CJK UNIFIED IDEOGRAPH-8170
0816b	腫	CJK UNIFIED IDEOGRAPH-816B
06175	慵	CJK UNIFIED IDEOGRAPH-6175
06613	易	CJK UNIFIED IDEOGRAPH-6613
06607	昇	CJK UNIFIED IDEOGRAPH-6607
0752c	甬	CJK UNIFIED IDEOGRAPH-752C
0817f	腿	CJK UNIFIED IDEOGRAPH-817F
075d2	痒	CJK UNIFIED IDEOGRAPH-75D2
06f8e	澎	CJK UNIFIED IDEOGRAPH-6F8E
066ff	替	CJK UNIFIED IDEOGRAPH-66FF
05468	周	CJK UNIFIED IDEOGRAPH-5468
053e5	句	CJK UNIFIED IDEOGRAPH-53E5
05f0c	弌	CJK UNIFIED IDEOGRAPH-5F0C
09905	餅	CJK UNIFIED IDEOGRAPH-9905
06cea	泪	CJK UNIFIED IDEOGRAPH-6CEA
06388	授	CJK UNIFIED IDEOGRAPH-6388
0908a	邊	CJK UNIFIED IDEOGRAPH-908A
04edf	仟	CJK UNIFIED IDEOGRAPH-4EDF
05859	塙	CJK UNIFIED IDEOGRAPH-5859
08ce2	賢	CJK UNIFIED IDEOGRAPH-8CE2
06c24	氤	CJK UNIFIED IDEOGRAPH-6C24
06dbc	涼	CJK UNIFIED IDEOGRAPH-6DBC
0990c	餌	CJK UNIFIED IDEOGRAPH-990C
